city,house,square metres,type of real estate,floor,price,time_to_sub,nearest_station,address,tech_address,floor_of_flat,MAX_floor
moskva,"57,9 м², 2-комнатная квартира
новостройка, Жилой район «Саларьево парк» 3 кв. 2023 г., 15 этаж из 16
поселение Сосенское, жилой комплекс Саларьево Парк, 48, к. 1
Филатов Луг 
14 мин.
11 574 210 ₽
199 900 ₽ за м²
ипотека
Продается двухкомнатная квартира № 2152 в новостройке Жилой район «Саларьево парк» по адресу Москва, Новомосковский АО, Московский Г/П, Жилой район «Саларьево парк», корп. 48.2. Общая площадь квартиры 57.90 кв. м., этаж 15 из 16, секция 2. Тип
Показать телефон
В избранное
Группа Компаний ПИК
2 часа назад",57.9,2-комнатная квартира,15,11574210,14,Филатов Луг ,"поселение Сосенское, жилой комплекс Саларьево Парк, 48","moskva поселение Сосенское, жилой комплекс Саларьево Парк, 48",15,16
moskva,"46 м², 2-комнатные апартаменты
Апарт-комплекс «Лайнер», 13 этаж из 14
Ходынский бульвар, 2
ЦСКА 
8 мин.
17 300 000 ₽
376 087 ₽ за м²
Хорошая цена!
торг
Продажа на прямую от Собственика, продаю самостоятельно в агентах не нуждаюсь! Просторные, светлые, солнечные видовые апартаменты на 13 этаже! С мебелью ASKONA и 8 МАРТА и техникой от ведущих производителей, сантехника Hansgrohe и VilleroyBoch и т.д.
Показать телефон
В избранное
ID 988 823 602
5 часов назад",46.0,2-комнатные апартаменты,13,17300000,8,ЦСКА ,"Ходынский бульвар, 2","moskva Ходынский бульвар, 2",13,14
moskva,"66,7 м², 2-комнатная квартира
новостройка, Город-парк «Переделкино Ближнее» 3 кв. 2023 г., 12 этаж из 13
поселение Внуковское, микрорайон Переделкино Ближнее, 10-я фаза, к5
Рассказовка 
15 мин.
12 383 810 ₽
185 664 ₽ за м²
ипотека
Продается двухкомнатная квартира без отделки в городе-парке ""Переделкино Ближнее"". Общая площадь квартиры - 66,7 кв. м, этаж 12 из 13. Тип дома - монолитный. Срок сдачи - 3 квартал 2023 года. Город-парк ""Переделкино Ближнее"" расположен в 8 км от МКАД
Показать телефон
В избранное
Абсолют Недвижимость
3 часа назад",66.7,2-комнатная квартира,12,12383810,15,Рассказовка ,"поселение Внуковское, микрорайон Переделкино Ближнее, 10","moskva поселение Внуковское, микрорайон Переделкино Ближнее, 10",12,13
moskva,"40,7 м², 2-комнатная квартира
8 этаж из 16
Братская улица, 17к1
Перово 
4 мин.
9 900 000 ₽
243 243 ₽ за м²
Проверено в Росреестре
ипотека
ОТ СОБСТВЕННИКА БЕЗ РИЕЛТОРОВ И КОМИССИИ Продаётся тёплая светлая 2-комнатная квартира: 8 этаж 16-эт. дома (серия: 1МГ-601-Д, 1967 г.п.), общая - 39.2 кв м, жилая - 21 кв м. Комнаты изолированные: 15 и 9 кв м., кухня 5.5 кв м. Санузел раздельный.
Показать телефон
В избранное
28 минут назад",40.7,2-комнатная квартира,8,9900000,4,Перово ,"Братская улица, 17к1","moskva Братская улица, 17к1",8,16
moskva,"51 м², 2-комнатная квартира
2 этаж из 2
улица Панфилова, 8
Панфиловская 
10 мин.
13 000 000 ₽
254 902 ₽ за м²
Проверено в Росреестре
Хорошая цена!
ипотека
Номер лота: 27828. Продается 2-комнатная квартира площадью 51 м, на 2 этаже 2-этажного кирпичного дома,в зеленом экологически чистом районе Москвы. Большая гостиная, спальня, совмещенный санузел. Высота потолков 3,2 м. Есть балкон. Окна гостиной
Показать телефон
В избранное
2 часа назад",51.0,2-комнатная квартира,2,13000000,10,Панфиловская ,"улица Панфилова, 8","moskva улица Панфилова, 8",2,2
moskva,"58 м², 2-комнатная квартира
14 этаж из 34
улица Адмирала Макарова, 6
Водный стадион 
10 мин.
18 700 000 ₽
322 414 ₽ за м²
ипотека
Номер лота: 31523. Видовая 2-комнатная квартира площадью 58 м, на 14 этаже 34-этажного монолитного-кирпичного дома в жилом комплексе «Невский», расположенном в 5 мин. ходьбы от метро «Водный стадион» и 10 мин. от новой станции МЦК «Балтийская». Из
Показать телефон
В избранное
2 часа назад",58.0,2-комнатная квартира,14,18700000,10,Водный стадион ,"улица Адмирала Макарова, 6","moskva улица Адмирала Макарова, 6",14,34
moskva,"56,9 м², 2-комнатная квартира
9 этаж из 17
Онежская улица, 51к1
Водный стадион 
15 мин.
14 000 000 ₽
246 046 ₽ за м²
ВНИМАНИЕ, ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ДРУЖНОЙ СЕМЬИ! Продается отличная 2комнатная квартира, расположенная зелёном и тихом районе Москвы. Квартира оптимальной планировки. Просторная комната, где Вы можете реализовать смелые дизайнерские решения. Уютная
Показать телефон
В избранное
34 минуты назад",56.9,2-комнатная квартира,9,14000000,15,Водный стадион ,"Онежская улица, 51к1","moskva Онежская улица, 51к1",9,17
moskva,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
41 минуту назад",53.5,2-комнатная квартира,15,13500000,8,Митино ,"3-й Митинский переулок, 1","moskva 3-й Митинский переулок, 1",15,17
moskva,"40,8 м², 2-комнатная квартира
новостройка, ЖК «Level Причальный» 4 кв. 2023 г., 15 этаж из 33
Причальный проезд, 8
Шелепиха 
11 мин.
16 368 634 ₽
401 192 ₽ за м²
ипотека
Условный номер в1-121. На берегу Москвы-реки продается 2-к квартира площадью 40,8 кв.м. на 15 этаже 33 этажного корпуса Bосток жилого комплекса бизнес-класса Level Причальный от компании Level Group. Отличная транспортная доступность. 7 мин. пешком
Показать телефон
В избранное
2 часа назад",40.8,2-комнатная квартира,15,16368634,11,Шелепиха ,"Причальный проезд, 8","moskva Причальный проезд, 8",15,33
moskva,"43,2 м², 2-комнатная квартира
4 этаж из 5
11-я Парковая улица, 39к2
Первомайская 
11 мин.
10 200 000 ₽
236 111 ₽ за м²
На проверке в Росреестре
ипотека
Номер лота: 31974. Предлагается теплая уютная 2-комнатная квартира в на 4 этаже 5-этажного кирпичного дома, расположенного в 10 минутах пешком от станций метро ""Первомайская"" и ""Щёлковская"". Окна выходят во двор. Комнаты смежные, 18 и 10,8 м. Имеется
Показать телефон
В избранное
2 часа назад",43.2,2-комнатная квартира,4,10200000,11,Первомайская ,"11-я Парковая улица, 39к2","moskva 11-я Парковая улица, 39к2",4,5
