link,city,type_of_house,rooms,house
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"57,9 м², 2-комнатная квартира
новостройка, Жилой район «Саларьево парк» 3 кв. 2023 г., 15 этаж из 16
поселение Сосенское, жилой комплекс Саларьево Парк, 48, к. 1
Филатов Луг 
14 мин.
11 574 210 ₽
199 900 ₽ за м²
ипотека
Продается двухкомнатная квартира № 2152 в новостройке Жилой район «Саларьево парк» по адресу Москва, Новомосковский АО, Московский Г/П, Жилой район «Саларьево парк», корп. 48.2. Общая площадь квартиры 57.90 кв. м., этаж 15 из 16, секция 2. Тип
Показать телефон
В избранное
Группа Компаний ПИК
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"46 м², 2-комнатные апартаменты
Апарт-комплекс «Лайнер», 13 этаж из 14
Ходынский бульвар, 2
ЦСКА 
8 мин.
17 300 000 ₽
376 087 ₽ за м²
Хорошая цена!
торг
Продажа на прямую от Собственика, продаю самостоятельно в агентах не нуждаюсь! Просторные, светлые, солнечные видовые апартаменты на 13 этаже! С мебелью ASKONA и 8 МАРТА и техникой от ведущих производителей, сантехника Hansgrohe и VilleroyBoch и т.д.
Показать телефон
В избранное
ID 988 823 602
5 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"66,7 м², 2-комнатная квартира
новостройка, Город-парк «Переделкино Ближнее» 3 кв. 2023 г., 12 этаж из 13
поселение Внуковское, микрорайон Переделкино Ближнее, 10-я фаза, к5
Рассказовка 
15 мин.
12 383 810 ₽
185 664 ₽ за м²
ипотека
Продается двухкомнатная квартира без отделки в городе-парке ""Переделкино Ближнее"". Общая площадь квартиры - 66,7 кв. м, этаж 12 из 13. Тип дома - монолитный. Срок сдачи - 3 квартал 2023 года. Город-парк ""Переделкино Ближнее"" расположен в 8 км от МКАД
Показать телефон
В избранное
Абсолют Недвижимость
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"40,7 м², 2-комнатная квартира
8 этаж из 16
Братская улица, 17к1
Перово 
4 мин.
9 900 000 ₽
243 243 ₽ за м²
Проверено в Росреестре
ипотека
ОТ СОБСТВЕННИКА БЕЗ РИЕЛТОРОВ И КОМИССИИ Продаётся тёплая светлая 2-комнатная квартира: 8 этаж 16-эт. дома (серия: 1МГ-601-Д, 1967 г.п.), общая - 39.2 кв м, жилая - 21 кв м. Комнаты изолированные: 15 и 9 кв м., кухня 5.5 кв м. Санузел раздельный.
Показать телефон
В избранное
28 минут назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"43 м², 2-комнатная квартира
1 этаж из 5
проспект Маршала Жукова, 22к3
Народное ополчение 
3 мин.
12 500 000 ₽
290 698 ₽ за м²
ипотека
Вашему вниманию предлагается 2-х комнатная квартира и в экологически чистом районе на Северо-Западе Москвы. Общая площадь 43 кв.м/жилая 28 кв.м/кухня 7 кв.м. Комнаты изолированные 17 и 14 кв.м. Раздельный сан. узел. Обжитой район с хорошей
Снято 1 день назад
вчера"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"51 м², 2-комнатная квартира
2 этаж из 2
улица Панфилова, 8
Панфиловская 
10 мин.
13 000 000 ₽
254 902 ₽ за м²
Проверено в Росреестре
Хорошая цена!
ипотека
Номер лота: 27828. Продается 2-комнатная квартира площадью 51 м, на 2 этаже 2-этажного кирпичного дома,в зеленом экологически чистом районе Москвы. Большая гостиная, спальня, совмещенный санузел. Высота потолков 3,2 м. Есть балкон. Окна гостиной
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"48,4 м², 2-комнатная квартира
новостройка, ЖК Aquatoria 2023 г., 16 этаж из 20
САО, район Левобережный, жилой комплекс Акватория
Беломорская 
20 мин.
21 150 000 ₽
437 255 ₽ за м²
ипотека
О жилом комплексе. На берегу реки, на участке площадью 5 га появятся четыре жилых здания переменной этажности. Комплекс спроектирован таким образом, что почти из всех квартир открывается прекрасный панорамный вид на реку. Принципиальным моментом
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"58 м², 2-комнатная квартира
14 этаж из 34
улица Адмирала Макарова, 6
Водный стадион 
10 мин.
18 700 000 ₽
322 414 ₽ за м²
ипотека
Номер лота: 31523. Видовая 2-комнатная квартира площадью 58 м, на 14 этаже 34-этажного монолитного-кирпичного дома в жилом комплексе «Невский», расположенном в 5 мин. ходьбы от метро «Водный стадион» и 10 мин. от новой станции МЦК «Балтийская». Из
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"56,9 м², 2-комнатная квартира
9 этаж из 17
Онежская улица, 51к1
Водный стадион 
15 мин.
14 000 000 ₽
246 046 ₽ за м²
ВНИМАНИЕ, ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ДРУЖНОЙ СЕМЬИ! Продается отличная 2комнатная квартира, расположенная зелёном и тихом районе Москвы. Квартира оптимальной планировки. Просторная комната, где Вы можете реализовать смелые дизайнерские решения. Уютная
Показать телефон
В избранное
34 минуты назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"49,5 м², 2-комнатные апартаменты
новостройка, Комплекс апартаментов «Поклонная 9» 2023 г., 15 этаж из 32
Поклонная улица, вл9
Парк Победы 
13 мин.
38 777 260 ₽
783 379 ₽ за м²
Показать телефон
В избранное
5 часов назад"
